idbook;title;author;year;pages_total;pages_read;progress
1;A Beginners Guide to Python 3 Programming;John Hunt;2019;441;249;0.56
2;"Advanced Guide to Python 3
Programming";John Hunt;2019;494;0;0
3;Beginning Python: From Novice to Professional;Magnus Lie Hetland;2017;544;0;0
4;Mastering Python;Rick van Hattem;2016;486;0;0
5;Python Cookbook;"David Beazley; Brian K. Jones";2013;706;0;0
6;Python Made Easy: Up and Running with Python;;;168;0;0
7;Python in Practice: Create Better Programs Using Concurrency, Libraries, and Patterns;Mark Summerfield;2014;323;0;0
8;Think Python: How to Think Like a Computer Scientist;Allen Downey;2015;244;0;0
9;"Introduction to Computation and
Programming Using Python";John V. Guttag;2013;315;0;0
10;"Automate the Boring Stuff with Python: Practical Programming
for Total Beginners";Al Sweigart;2015;505;0;0
11;Data Science for Business;"Foster Provost; Tom Fawcett";2013;409;0;0
12;Doing Data Science;"Rachel Schutt; Cathy ONeil";2014;405;98;0.24
13;"Introducing Data Science: 
BIG DATA, MACHINE LEARNING,
AND MORE, USING PYTHON TOOLS";DAVY CIELEN;2016;322;0;0
14;Learning Data Mining with Python;Robert Layton;2017;657;0;0
15;Python Data Analysis Cookbook;Ivan Idris;2016;463;0;0
16;Python Data Science Essentials;"Alberto Boschetti; Luca Massaron";2015;351;0;0
17;Python for Data Analysis;Wes McKinney;2013;470;0;0
18;Python Data Science Handbook: Essential Tools for Working with Data;Jake VanderPlas;2017;548;0;0
19;Applied Natural Language Processing with Python;Taweh Beysolow;2018;158;0;0
20;Natural Language Processing with Python;Steven Bird;2009;504;0;0
21;Python Programming for the Absolute Beginner;Michael Dawson;2010;480;0;0
22;Inventa tus propios juegos de computadora con python;Al Sweigart;2008;380;0;0
23;Making games with python and pygame;Al Sweigart;2012;365;0;0
24;Data Structures and Algorithms in Python;Michael T. Goodrich;2013;770;0;0
25;Learning Python Network Programming;"Faruque Sarker; Sam Washington";2015;320;0;0
26;Mastering Object-oriented Python;Steven F. Lott;2014;634;0;0
27;Python 3 Object Oriented Programming;Dusty Phillips;2010;405;0;0
28;Python 3 Web Development;Michel Anders;2011;336;0;0
29;Python Network Programming Cookbook;Faruque Sarker;2014;234;0;0
30;Web Scraping with Python;Ryan Mitchell;2018;306;0;0
31;Data Analysis with Open Source Tools;Philipp K. Janert;2011;533;0;0
32;Head First Data Analysis;Michael Milton;2009;486;0;0
33;Head First Object-Oriented analysis and design;Brett McLaughlin;2007;603;0;0
34;Visualizing Data;Ben Fry;2008;384;0;0
35;Head First Statistics;Dawn Griffiths;2009;717;0;0
36;Introducci¢n a la inferencia estad¡stica;Armando Aguilar Marqu‚z;2010;218;0;0
37;"Probabilidad y estad¡stica
para ingenier¡a y ciencias";Ronald E. Walpole;2012;816;72;0.09
38;Think Bayes: Bayesian Statistics Made Simple;Allen B. Downey;2012;213;0;0
39;Think Stats: Exploratory Data Analysis in Python;Allen B. Downey;2014;264;264;1
40;MySQL Cookbook;Paul DuBois;2014;866;0;0
41;"Python code for Artificial Intelligence: Foundations of
Computational Agents";"David L. Poole; Alan K. Mackworth";2020;227;0;0
